;environmental;social;corporate governance
2;11.0;8.0;6.0
4;4.0;5.0;4.0
5;9.0;9.0;7.0
15;8.0;10.0;3.0
22;9.0;6.0;4.0
25;7.0;6.0;4.0
30;8.0;4.0;7.0
38;7.0;10.0;6.0
40;11.0;6.0;8.0
46;10.0;9.0;8.0
47;5.0;7.0;4.0
49;8.0;8.0;7.0
51;7.0;8.0;6.0
59;10.0;6.0;5.0
1;8.0;7.0;8.0
3;7.0;9.0;7.0
7;11.0;9.0;6.0
8;6.0;3.0;2.0
9;10.0;5.0;6.0
10;8.0;7.0;4.0
11;8.0;5.0;4.0
16;6.0;3.0;
18;5.0;7.0;5.0
20;5.0;2.0;1.0
28;8.0;9.0;4.0
29;7.0;3.0;
33;9.0;10.0;7.0
36;6.0;6.0;1.0
37;8.0;9.0;7.0
42;2.0;4.0;3.0
44;9.0;10.0;5.0
52;4.0;7.0;3.0
56;9.0;8.0;7.0
62;7.0;6.0;2.0
6;6.0;6.0;3.0
12;2.0;;
13;3.0;4.0;5.0
17;6.0;7.0;4.0
19;5.0;7.0;4.0
23;6.0;2.0;1.0
26;6.0;6.0;2.0
31;4.0;5.0;4.0
32;2.0;1.0;1.0
34;6.0;4.0;4.0
43;6.0;7.0;6.0
48;7.0;10.0;7.0
50;7.0;3.0;4.0
54;6.0;5.0;3.0
58;5.0;3.0;2.0
61;9.0;4.0;4.0
14;2.0;7.0;3.0
21;4.0;9.0;6.0
24;4.0;8.0;3.0
45;2.0;5.0;3.0
39;2.0;;
41;2.0;1.0;
0;1.0;;
55;;6.0;2.0
